binomial,phylum,class,order,family,genus,Common.name,panth_bodymass_g,panth_metrate_g,panth_maxLong_m,panth_Mat_d,aa_femMat_d,aa_maleMat_d,aa_maxLong_y,aa_maxLong_m,aa_metrate_w,aa_bodymass_g,AA_Data.quality,kup_AdultMass,kup_maxLong_m,AT_bodymass_g,AT_metrate,AT_brain_g,mean_long,State,species
Abramis brama,Chordata,Teleostei,Cypriniformes,Leuciscidae,Abramis,Bream,NA,NA,NA,NA,2007,1825,23,276,NA,NA,acceptable,3305.5,276,NA,NA,NA,276,NA,Abramis_brama
Abrocoma bennettii,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Bennett's chinchilla rat,250.5,NA,27.6,NA,NA,NA,2.3,27.6,NA,NA,acceptable,265.5,27.6,NA,NA,NA,27.6,NOC,Abrocoma_bennettii
Abrothrix olivaceus,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,NA,24.52,27,12,170.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0.2745,NA,12,NA,Abrothrix_olivaceus
Acanthagenys rufogularis,Chordata,Aves,Passeriformes,Meliphagidae,Acanthagenys,Spiny-cheeked honeyeater,NA,NA,NA,NA,NA,NA,13.6,163.2,NA,NA,acceptable,NA,NA,46.7,NA,NA,163.2,NA,Acanthagenys_rufogularis
Acantharchus pomotis,Chordata,Actinopterygii,Perciformes,Centrarchidae,Acantharchus,Mud sunfish,NA,NA,NA,NA,NA,NA,8,96,NA,NA,questionable,NA,96,NA,NA,NA,96,NA,Acantharchus_pomotis
Acanthis flammea,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Common redpoll,NA,NA,NA,NA,365,365,12.2,146.4,0.2888,14,acceptable,14.2,146.4,NA,NA,NA,146.4,NA,Acanthis_flammea
Acanthis hornemanni,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Hoary redpoll,NA,NA,NA,NA,365,365,6.8,81.6,NA,NA,acceptable,19.25,81.6,NA,NA,NA,81.6,NA,Acanthis_hornemanni
Acanthiza chrysorrhoa,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Yellow-rumped thornbill,NA,NA,NA,NA,NA,NA,13.1,157.2,NA,NA,acceptable,NA,NA,8.7,NA,NA,157.2,NA,Acanthiza_chrysorrhoa
Acanthiza ewingii,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Tasmanian thornbill,NA,NA,NA,NA,NA,NA,7.7,92.4,NA,NA,acceptable,NA,NA,7,NA,0.65268,92.4,NA,Acanthiza_ewingii
Acanthiza inornata,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Western thornbill,NA,NA,NA,NA,NA,NA,8.9,106.8,NA,NA,acceptable,NA,NA,7,NA,0.45584,106.8,NA,Acanthiza_inornata
Acanthiza katherina,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Mountain thornbill,NA,NA,NA,NA,NA,NA,15,180,NA,NA,acceptable,NA,NA,NA,NA,NA,180,NA,Acanthiza_katherina
Acanthiza lineata,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Striated thornbill,NA,NA,NA,NA,NA,NA,23.5,282,NA,NA,acceptable,NA,NA,7.3,NA,NA,282,NA,Acanthiza_lineata
Acanthiza nana,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Yellow thornbill,NA,NA,NA,NA,NA,NA,13.8,165.6,NA,NA,acceptable,NA,NA,6.5,NA,0.37296,165.6,NA,Acanthiza_nana
Acanthiza pusilla,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Brown thornbill,NA,NA,NA,NA,NA,NA,17.6,211.2,NA,NA,acceptable,NA,NA,6.9,NA,NA,211.2,NA,Acanthiza_pusilla
Acanthiza reguloides,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Buff-rumped thornbill,NA,NA,NA,NA,NA,NA,9.5,114,NA,NA,acceptable,NA,NA,7.4,NA,0.40404,114,DIU,Acanthiza_reguloides
Acanthiza uropygialis,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Chestnut-rumped thornbill,NA,NA,NA,NA,NA,NA,7,84,NA,NA,acceptable,NA,NA,6.3,NA,NA,84,NA,Acanthiza_uropygialis
Acanthocercus atricollis,Chordata,Reptilia,Squamata,Agamidae,Acanthocercus,"Black-necked agama, or Plains agama",NA,NA,NA,NA,NA,NA,6,72,NA,NA,acceptable,81.495,72,NA,NA,NA,72,NA,Acanthocercus_atricollis
Acanthoclinus fuscus,Chordata,Actinopterygii,Perciformes,Plesiopidae,Acanthoclinus,Taumaka,NA,NA,NA,NA,NA,NA,9,108,NA,NA,acceptable,NA,108,NA,NA,NA,108,NA,Acanthoclinus_fuscus
Acanthopagrus australis,Chordata,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,Surf bream,NA,NA,NA,NA,NA,NA,12,144,NA,NA,acceptable,2475,144,NA,NA,NA,144,NA,Acanthopagrus_australis
Acanthopagrus butcheri,Chordata,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,Southern black bream,NA,NA,NA,NA,912,912,29,348,NA,NA,acceptable,2200,348,NA,NA,NA,348,NA,Acanthopagrus_butcheri
Acanthophis antarcticus,Chordata,Reptilia,Squamata,Elapidae,Acanthophis,Common death adder,NA,NA,NA,NA,NA,NA,9.3,111.6,NA,NA,acceptable,384,111.6,NA,NA,NA,111.6,NOC,Acanthophis_antarcticus
Acanthorhynchus superciliosus,Chordata,Aves,Passeriformes,Meliphagidae,Acanthorhynchus,Western spinebill,NA,NA,NA,NA,NA,NA,10.7,128.4,NA,NA,acceptable,NA,NA,NA,NA,NA,128.4,NA,Acanthorhynchus_superciliosus
Acanthorhynchus tenuirostris,Chordata,Aves,Passeriformes,Meliphagidae,Acanthorhynchus,Eastern spinebill,NA,NA,NA,NA,NA,NA,15.5,186,NA,NA,acceptable,NA,NA,10.66666667,NA,NA,186,NA,Acanthorhynchus_tenuirostris
Accipiter cooperii,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Cooper's hawk,NA,NA,NA,NA,730,730,20.3,243.6,NA,NA,acceptable,526.64,243.6,NA,NA,NA,243.6,NA,Accipiter_cooperii
Accipiter fasciatus,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Brown goshawk,NA,NA,NA,NA,NA,NA,14.9,178.8,NA,NA,acceptable,NA,NA,403,NA,4.662,178.8,NA,Accipiter_fasciatus
Accipiter gentilis,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Northern goshawk,NA,NA,NA,NA,365,730,22,264,NA,NA,acceptable,1044.2,264,NA,NA,NA,264,DIU,Accipiter_gentilis
Accipiter nisus,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Eurasian sparrowhawk,NA,NA,NA,NA,365,365,20.2,242.4,0.9516,135,acceptable,237.5,242.4,NA,NA,NA,242.4,NA,Accipiter_nisus
Accipiter striatus,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Sharp-shinned hawk,NA,NA,NA,NA,365,365,19.9,238.8,NA,NA,acceptable,135,238.8,520,NA,5.7,238.8,NA,Accipiter_striatus
Acinonyx jubatus,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,Cheetah,50577.92,48900,228,741.97,456,456,20.5,246,61.77,38446.1,high,53500,246,31510,NA,NA,237,NA,Acinonyx_jubatus
Acipenser brevirostrum,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Shortnose sturgeon,NA,NA,NA,NA,5657,NA,67,804,NA,NA,acceptable,NA,NA,NA,NA,NA,804,NA,Acipenser_brevirostrum
Acipenser dabryanus,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Yangtze sturgeon,NA,NA,NA,NA,NA,NA,100,1200,NA,NA,acceptable,NA,NA,NA,NA,NA,1200,NA,Acipenser_dabryanus
Acipenser fulvescens,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Lake sturgeon,NA,NA,NA,NA,9490,2920,152,1824,NA,NA,acceptable,NA,NA,NA,NA,NA,1824,NA,Acipenser_fulvescens
Acipenser gueldenstaedtii,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Russian sturgeon,NA,NA,NA,NA,5110,4380,46,552,NA,NA,acceptable,NA,NA,NA,NA,NA,552,NA,Acipenser_gueldenstaedtii
Acipenser oxyrinchus,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,NA,NA,NA,NA,NA,NA,60,720,NA,NA,acceptable,NA,NA,NA,NA,NA,720,NA,Acipenser_oxyrinchus
Acipenser ruthenus,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sterlet,NA,NA,NA,NA,2129,1460,46.1,553.2,NA,NA,acceptable,NA,NA,NA,NA,NA,553.2,NA,Acipenser_ruthenus
Acipenser schrenckii,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Amur sturgeon,NA,NA,NA,NA,4562,3285,60,720,NA,NA,acceptable,NA,NA,NA,NA,NA,720,NA,Acipenser_schrenckii
Acipenser stellatus,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Star sturgeon,NA,NA,NA,NA,3285,2190,27,324,NA,NA,acceptable,NA,NA,NA,NA,NA,324,NA,Acipenser_stellatus
Acipenser sturio,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,European sturgeon,NA,NA,NA,NA,4608,3467,100,1200,NA,NA,acceptable,NA,NA,NA,NA,NA,1200,NA,Acipenser_sturio
Acipenser transmontanus,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,White sturgeon,NA,NA,NA,NA,8212,6022,104,1248,NA,NA,acceptable,NA,NA,NA,NA,NA,1248,NA,Acipenser_transmontanus
Acomys cahirinus,Chordata,Mammalia,Rodentia,Muridae,Acomys,Spiny mouse,41.16,NA,60,51.9,58,59,5.9,70.8,0.258,42,high,45.2,70.8,NA,NA,NA,65.4,NA,Acomys_cahirinus
Acomys cilicicus,Chordata,Mammalia,Rodentia,Muridae,Acomys,Turkish spiny mouse,NA,NA,NA,NA,NA,NA,4,48,NA,NA,acceptable,NA,48,NA,NA,NA,48,NA,Acomys_cilicicus
Acomys wilsoni,Chordata,Mammalia,Rodentia,Muridae,Acomys,Wilson's spiny mouse,18.5,NA,NA,NA,NA,NA,5.6,67.2,NA,NA,acceptable,20,67.2,NA,NA,NA,67.2,NA,Acomys_wilsoni
Acrantophis dumerili,Chordata,Reptilia,Squamata,Sanziniidae,Acrantophis,Dumeril's ground boa,NA,NA,NA,NA,NA,NA,26,312,NA,NA,acceptable,NA,312,NA,NA,NA,312,NA,Acrantophis_dumerili
Acrantophis madagascariensis,Chordata,Reptilia,Squamata,Sanziniidae,Acrantophis,Madagascar boa,NA,NA,NA,NA,NA,NA,28.4,340.8,NA,NA,acceptable,NA,340.8,NA,NA,NA,340.8,NA,Acrantophis_madagascariensis
Acridotheres cristatellus,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Crested myna,NA,NA,NA,NA,NA,NA,13,156,1.2092,109.4,acceptable,116.5,156,NA,NA,NA,156,NA,Acridotheres_cristatellus
Acris crepitans,Chordata,Amphibia,Anura,Hylidae,Acris,Northern cricket frog,NA,NA,NA,NA,NA,NA,4.9,58.8,NA,NA,questionable,1.69,58.8,0.3,NA,0.00443,58.8,ARR,Acris_crepitans
Acrobates pygmaeus,Chordata,Mammalia,Diprotodontia,Acrobatidae,Acrobates,Pygmy gliding possum,13.84,14,86.4,272.11,240,365,8.8,105.6,0.084,14,high,13,105.6,8.9,NA,0.3626,96,NOC,Acrobates_pygmaeus
Acrocephalus arundinaceus,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Great reed-warbler,NA,NA,NA,NA,365,365,10.1,121.2,0.257,21.9,acceptable,30,121.2,26.9,0.255787037,NA,121.2,DIU,Acrocephalus_arundinaceus
Acrocephalus australis,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Australian reed warbler,NA,NA,NA,NA,NA,NA,7.1,85.2,NA,NA,acceptable,NA,NA,NA,NA,NA,85.2,NA,Acrocephalus_australis
Acrocephalus dumetorum,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Blyth's reed-warbler,NA,NA,NA,NA,NA,NA,8,96,NA,NA,acceptable,11.2,93.6,NA,NA,NA,96,NA,Acrocephalus_dumetorum
Acrocephalus melanopogon,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Moustached warbler,NA,NA,NA,NA,365,365,11.2,134.4,NA,NA,acceptable,10.9,134.4,NA,NA,NA,134.4,NA,Acrocephalus_melanopogon
Acrocephalus palustris,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Marsh warbler,NA,NA,NA,NA,365,365,9.8,117.6,0.203,10.8,acceptable,11.5,117.6,NA,NA,NA,117.6,DIU,Acrocephalus_palustris
Acrocephalus schoenobaenus,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Sedge warbler,NA,NA,NA,NA,365,365,11.8,141.6,0.218,11.5,acceptable,11.8,141.6,NA,NA,NA,141.6,DIU,Acrocephalus_schoenobaenus
Acrocephalus scirpaceus,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Eurasian reed-warbler,NA,NA,NA,NA,365,365,16.9,202.8,NA,NA,acceptable,12.3,168,NA,NA,NA,202.8,DIU,Acrocephalus_scirpaceus
Acrocephalus sechellensis,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Seychelles warbler,NA,NA,NA,NA,NA,NA,17,204,NA,NA,acceptable,15.9,204,NA,NA,NA,204,NA,Acrocephalus_sechellensis
Acrocephalus stentoreus,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,"Clamorous reed warbler, or Indian great reed warbler",NA,NA,NA,NA,NA,NA,10.6,127.2,NA,NA,acceptable,24.2,127.2,NA,NA,NA,127.2,NA,Acrocephalus_stentoreus
Acrochordus arafurae,Chordata,Reptilia,Squamata,Acrochordidae,Acrochordus,Arafura filesnake,NA,NA,NA,NA,NA,NA,8.8,105.6,NA,NA,acceptable,6107,105.6,1047.4,0.087705263,NA,105.6,NA,Acrochordus_arafurae
Acrochordus javanicus,Chordata,Reptilia,Squamata,Acrochordidae,Acrochordus,Javan wart snake,NA,NA,NA,NA,NA,NA,5.8,69.6,NA,NA,questionable,9561,69.6,NA,NA,NA,69.6,NA,Acrochordus_javanicus
Acrocodia indica,Chordata,Mammalia,Perissodactyla,Tapiridae,Acrocodia,Malayan tapir,NA,NA,NA,NA,1095,1095,36.5,438,NA,NA,acceptable,250000,438,NA,NA,NA,438,NA,Acrocodia_indica
Actinemys marmorata,Chordata,Reptilia,Testudines,Emydidae,Actinemys,"Pacific pond turtle, or Southwestern pond turtle",NA,NA,NA,NA,NA,NA,27.3,327.6,NA,NA,acceptable,282,327.6,NA,NA,NA,327.6,DIU,Actinemys_marmorata
Actitis hypoleucos,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Common sandpiper,NA,NA,NA,NA,365,365,14.5,174,NA,NA,acceptable,48,174,45.65,NA,0.89096,174,NA,Actitis_hypoleucos
Actitis macularius,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Spotted sandpiper,NA,NA,NA,NA,365,365,12,144,NA,NA,acceptable,34,144,NA,NA,NA,144,DIU,Actitis_macularius
Adansonia digitata,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Adansonia,African baobab,NA,NA,NA,NA,NA,NA,2500,30000,NA,NA,acceptable,NA,NA,NA,NA,NA,30000,NA,Adansonia_digitata
Addax nasomaculatus,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Addax,96077.36,NA,308.04,NA,1065,NA,28,336,NA,NA,high,92500,336,NA,NA,NA,322.02,NA,Addax_nasomaculatus
Aechmophorus occidentalis,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,Western grebe,NA,NA,NA,NA,365,365,14,168,NA,NA,acceptable,1475.5,168,NA,NA,NA,168,DIU,Aechmophorus_occidentalis
Aegithalos caudatus,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Long-tailed tit,NA,NA,NA,NA,365,365,11.1,133.2,0.199,8.9,acceptable,8.6,133.2,NA,NA,NA,133.2,DIU,Aegithalos_caudatus
Aegolius acadicus,Chordata,Aves,Strigiformes,Strigidae,Aegolius,Northern saw-whet owl,NA,NA,NA,NA,365,365,17.5,210,0.654,124,acceptable,117.9,210,NA,NA,NA,210,NOC,Aegolius_acadicus
Aegolius funereus,Chordata,Aves,Strigiformes,Strigidae,Aegolius,Boreal owl,NA,NA,NA,NA,365,365,15.9,190.8,NA,NA,acceptable,120,190.8,NA,NA,NA,190.8,NA,Aegolius_funereus
Aegotheles cristatus,Chordata,Aves,Apodiformes,Aegothelidae,Aegotheles,Australian owlet-nightjar,NA,NA,NA,NA,NA,NA,5.9,70.8,NA,NA,acceptable,NA,NA,45,NA,1.47112,70.8,NOC,Aegotheles_cristatus
Aegypius monachus,Chordata,Aves,Accipitriformes,Accipitridae,Aegypius,Cinereous vulture,NA,NA,NA,NA,1999,NA,39,468,NA,NA,acceptable,9625,468,NA,NA,NA,468,NA,Aegypius_monachus
Aepyceros melampus,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,Impala,52591.69,NA,213,498.97,456,395,25.6,307.2,NA,NA,high,52500,307.2,NA,NA,NA,260.1,NA,Aepyceros_melampus
Aepyprymnus rufescens,Chordata,Mammalia,Diprotodontia,Potoroidae,Aepyprymnus,Rufous 'rat'-kangaroo,2810.31,2845,96,345.41,333,380,12.8,153.6,5.978,2820,acceptable,3250,153.6,2256.5,NA,NA,124.8,NOC,Aepyprymnus_rufescens
Aerodramus terraereginae,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Australian swiftlet,NA,NA,NA,NA,NA,NA,9.3,111.6,NA,NA,acceptable,NA,NA,12.5,NA,0.24864,111.6,NA,Aerodramus_terraereginae
Aeronautes saxatalis,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,White-throated swift,NA,NA,NA,NA,NA,NA,10,120,NA,NA,acceptable,31,120,NA,NA,NA,120,NA,Aeronautes_saxatalis
Aethia cristatella,Chordata,Aves,Charadriiformes,Alcidae,Aethia,Crested auklet,NA,NA,NA,NA,1095,1095,10.8,129.6,NA,NA,acceptable,289,129.6,NA,NA,NA,129.6,NA,Aethia_cristatella
Aethia pusilla,Chordata,Aves,Charadriiformes,Alcidae,Aethia,Least auklet,NA,NA,NA,NA,1095,1095,8.1,97.2,NA,NA,acceptable,96,97.2,NA,NA,NA,97.2,DIU,Aethia_pusilla
Aethia pygmaea,Chordata,Aves,Charadriiformes,Alcidae,Aethia,Whiskered auklet,NA,NA,NA,NA,NA,1095,15,180,NA,NA,acceptable,120,180,NA,NA,NA,180,NA,Aethia_pygmaea
Aetobatus flagellum,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Aetobatus,Longheaded eagle ray,NA,NA,NA,NA,2190,NA,16,192,NA,NA,acceptable,7645,192,NA,NA,NA,192,NA,Aetobatus_flagellum
Agalychnis spurrelli,Chordata,Amphibia,Anura,Phyllomedusidae,Agalychnis,Maroon-eyed tree frog,NA,NA,NA,NA,NA,NA,5.5,66,NA,NA,acceptable,NA,66,NA,NA,NA,66,NOC,Agalychnis_spurrelli
Agama impalearis,Chordata,Reptilia,Squamata,Agamidae,Agama,Bibron's agama,NA,NA,NA,NA,365,NA,6,72,NA,NA,acceptable,64.18,72,NA,NA,NA,72,NA,Agama_impalearis
Agapornis fischeri,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,Fischer's lovebird,NA,NA,NA,NA,NA,NA,12.6,151.2,NA,NA,questionable,48.3,151.2,NA,NA,NA,151.2,NA,Agapornis_fischeri
Agapornis lilianae,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,Nyasa loverbird,NA,NA,NA,NA,NA,NA,19.2,230.4,NA,NA,acceptable,37.3,230.4,NA,NA,NA,230.4,DIU,Agapornis_lilianae
Agapornis pullarius,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,Red-headed lovebird,NA,NA,NA,NA,363,NA,18,216,NA,NA,acceptable,43,216,NA,NA,NA,216,NA,Agapornis_pullarius
Agapornis taranta,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,Black-winged lovebird,NA,NA,NA,NA,363,NA,14.6,175.2,NA,NA,acceptable,57.5,175.2,NA,NA,NA,175.2,DIU,Agapornis_taranta
Agelaius phoeniceus,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Red-winged blackbird,NA,NA,NA,NA,365,365,20,240,NA,NA,acceptable,56.7,240,NA,NA,NA,240,DIU,Agelaius_phoeniceus
Agelaius tricolor,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Tricolored blackbird,NA,NA,NA,NA,365,730,13.2,158.4,NA,NA,acceptable,56.5,158.4,NA,NA,NA,158.4,NA,Agelaius_tricolor
Agelaius xanthomus,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Yellow-shouldered blackbird,NA,NA,NA,NA,NA,NA,12.6,151.2,NA,NA,acceptable,38.4,151.2,NA,NA,NA,151.2,NA,Agelaius_xanthomus
Agkistrodon bilineatus,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon,"Mexican moccasin, or Cantil",NA,NA,NA,NA,NA,NA,24.3,291.6,NA,NA,acceptable,NA,291.6,NA,NA,NA,291.6,NA,Agkistrodon_bilineatus
Agkistrodon contortrix,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon,Northern copperhead,NA,NA,NA,NA,730,730,29.8,357.6,NA,NA,acceptable,950,357.6,NA,NA,NA,357.6,ARR,Agkistrodon_contortrix
Agkistrodon piscivorus,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon,Water moccasin,NA,NA,NA,NA,1095,1095,24.5,294,NA,NA,acceptable,1700,294,NA,NA,0.64,294,NA,Agkistrodon_piscivorus
Agonus cataphractus,Chordata,Teleostei,Scorpaeniformes,Agonidae,Agonus,Armed bullhead,NA,NA,NA,NA,912,912,3,36,NA,NA,acceptable,NA,36,NA,NA,NA,36,NA,Agonus_cataphractus
Ailuroedus crassirostris,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Ailuroedus,Green catbird,NA,NA,NA,NA,NA,NA,14.9,178.8,NA,NA,acceptable,NA,NA,210,NA,4.15436,178.8,NA,Ailuroedus_crassirostris
Ailuroedus melanotis,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Ailuroedus,Spotted catbird,NA,NA,NA,NA,NA,NA,10.4,124.8,NA,NA,acceptable,NA,NA,NA,NA,NA,124.8,DIU,Ailuroedus_melanotis
Ailuropoda melanoleuca,Chordata,Mammalia,Carnivora,Ursidae,Ailuropoda,Giant panda,117999.99,NA,360,2413.02,2192,2192,36.8,441.6,NA,NA,acceptable,117500,441.6,NA,NA,NA,400.8,CRE,Ailuropoda_melanoleuca
Ailurus fulgens,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus,Red panda,5170.08,5345,168,604.05,550,550,19,228,4.898,5740,high,4325,228,5590,NA,46.8,198,NA,Ailurus_fulgens
Aimophila ruficeps,Chordata,Aves,Passeriformes,Passerellidae,Aimophila,Rufous-crowned sparrow,NA,NA,NA,NA,365,365,5.1,61.2,NA,NA,acceptable,18.8,61.2,NA,NA,NA,61.2,NA,Aimophila_ruficeps
Aix galericulata,Chordata,Aves,Anseriformes,Anatidae,Aix,Mandarin duck,NA,NA,NA,NA,363,NA,10.4,124.8,NA,NA,questionable,570,124.8,NA,NA,NA,124.8,NA,Aix_galericulata
Aix sponsa,Chordata,Aves,Anseriformes,Anatidae,Aix,Wood duck,NA,NA,NA,NA,365,365,22.5,270,2.247,448,acceptable,452.8,270,NA,NA,NA,270,DIU,Aix_sponsa
Alauda arvensis,Chordata,Aves,Passeriformes,Alaudidae,Alauda,Eurasian skylark,NA,NA,NA,NA,365,365,10.1,121.2,0.722,31.7,acceptable,37.5,121.2,NA,NA,NA,121.2,DIU,Alauda_arvensis
Albatrossia pectoralis,Chordata,Teleostei,Gadiformes,Macrouridae,Albatrossia,Giant grenadier,NA,NA,NA,NA,NA,NA,56,672,NA,NA,acceptable,NA,672,NA,NA,NA,672,NA,Albatrossia_pectoralis
Alca torda,Chordata,Aves,Charadriiformes,Alcidae,Alca,Razorbill,NA,NA,NA,NA,1460,1460,42,504,NA,NA,acceptable,726,504,NA,NA,NA,504,NA,Alca_torda
Alcedo atthis,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,Common kingfisher,NA,NA,NA,NA,365,365,21,252,0.378,34.3,acceptable,31.4,252,NA,NA,NA,252,NA,Alcedo_atthis
Alcelaphus buselaphus,Chordata,Mammalia,Artiodactyla,Bovidae,Alcelaphus,Hartebeest,160937.86,NA,240,827.69,730,NA,22.5,270,NA,NA,acceptable,159000,270,NA,NA,NA,255,NA,Alcelaphus_buselaphus
Alcelaphus caama,Chordata,Mammalia,Artiodactyla,Bovidae,Alcelaphus,NA,176115.97,NA,183.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.96,NA,Alcelaphus_caama
Alces alces,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,Moose,461900.76,NA,324,668.2,751,612,NA,NA,286.847,325000,low,NA,NA,NA,NA,NA,324,NA,Alces_alces
Alces americanus,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,NA,541460.44,NA,300,631.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,Alces_americanus
Aldabrachelys gigantea,Chordata,Reptilia,Testudines,Testudinidae,Aldabrachelys,Aldabra tortoise,NA,NA,NA,NA,9131,9131,152,1824,NA,NA,acceptable,117200,1824,NA,NA,NA,1824,NA,Aldabrachelys_gigantea
Aldrichetta forsteri,Chordata,Teleostei,Mugiliformes,Mugilidae,Aldrichetta,Yellow-eye mullet,NA,NA,NA,NA,912,912,7,84,NA,NA,acceptable,522.5,84,NA,NA,NA,84,NA,Aldrichetta_forsteri
Alectoris rufa,Chordata,Aves,Galliformes,Phasianidae,Alectoris,Red-legged partridge,NA,NA,NA,NA,363,NA,6.2,74.4,NA,NA,acceptable,528,74.4,NA,NA,NA,74.4,NA,Alectoris_rufa
Alectura lathami,Chordata,Aves,Galliformes,Megapodiidae,Alectura,"Australian brushturkey, or Brush turkey",NA,NA,NA,NA,NA,NA,12.5,150,NA,NA,acceptable,2340,150,2300,NA,5.88448,150,DIU,Alectura_lathami
Alepocephalus bairdii,Chordata,Teleostei,Osmeriformes,Alepocephalidae,Alepocephalus,Baird's smoothhead,NA,NA,NA,NA,NA,NA,38,456,NA,NA,acceptable,NA,456,NA,NA,NA,456,NA,Alepocephalus_bairdii
Alisterus scapularis,Chordata,Aves,Psittaciformes,Psittacidae,Alisterus,Australian king parrot,NA,NA,NA,NA,363,NA,26.6,319.2,NA,NA,acceptable,232.5,319.2,207,NA,4.64128,319.2,NA,Alisterus_scapularis
Allactaga elater,Chordata,Mammalia,Rodentia,Dipodidae,Allactaga,Small five-toed jerboa,59,NA,NA,105.22,142,142,5.2,62.4,NA,NA,acceptable,58.7,62.4,NA,NA,NA,62.4,NA,Allactaga_elater
Allactaga euphratica,Chordata,Mammalia,Rodentia,Dipodidae,Allactaga,Euphrates jerboa,232,NA,50.4,NA,NA,NA,4.2,50.4,NA,NA,acceptable,232,50.4,NA,NA,NA,50.4,NA,Allactaga_euphratica
Allactaga major,Chordata,Mammalia,Rodentia,Dipodidae,Allactaga,Great jerboa,NA,NA,NA,377.57,378,NA,7,84,NA,NA,acceptable,350,84,NA,NA,NA,84,NA,Allactaga_major
