binomial,phylum,class,order,family,genus,Common.name,panth_bodymass_g,panth_metrate_g,panth_maxLong_m,panth_Mat_d,aa_femMat_d,aa_maleMat_d,aa_maxLong_y,aa_maxLong_m,aa_metrate_w,aa_bodymass_g,AA_Data.quality,kup_AdultMass,kup_maxLong_m,AT_bodymass_g,AT_metrate,AT_brain_g,mean_long,State,species
Pomatoschistus pictus,Chordata,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,Painted goby,NA,NA,NA,NA,NA,NA,2,24,NA,NA,acceptable,NA,24,NA,NA,NA,24,NA,Pomatoschistus_pictus
Pomatostomus halli,Chordata,Aves,Passeriformes,Pomatostomidae,Pomatostomus,Hall's babbler,NA,NA,NA,NA,NA,NA,3.9,46.8,NA,NA,questionable,NA,NA,40,NA,1.6576,46.8,DIU,Pomatostomus_halli
Pomatostomus ruficeps,Chordata,Aves,Passeriformes,Pomatostomidae,Pomatostomus,Chestnut-crowned babbler,NA,NA,NA,NA,NA,NA,8.3,99.6,NA,NA,acceptable,NA,NA,50.2,NA,NA,99.6,NA,Pomatostomus_ruficeps
Pomatostomus superciliosus,Chordata,Aves,Passeriformes,Pomatostomidae,Pomatostomus,White-browed babbler,NA,NA,NA,NA,NA,NA,14.4,172.8,NA,NA,acceptable,NA,NA,38.55,NA,NA,172.8,NA,Pomatostomus_superciliosus
Pomatostomus temporalis,Chordata,Aves,Passeriformes,Pomatostomidae,Pomatostomus,Grey-crowned babbler,NA,NA,NA,NA,NA,NA,13.3,159.6,NA,NA,acceptable,NA,NA,69.5,NA,1.9684,159.6,NA,Pomatostomus_temporalis
Pomoxis annularis,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,White crappie,NA,NA,NA,NA,NA,NA,10,120,NA,NA,acceptable,1292.5,120,NA,NA,NA,120,NA,Pomoxis_annularis
Pomoxis nigromaculatus,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,Black crappie,NA,NA,NA,NA,NA,NA,15,180,NA,NA,acceptable,1496,180,NA,NA,NA,180,NA,Pomoxis_nigromaculatus
Pongo pygmaeus,Chordata,Mammalia,Primates,Hominidae,Pongo,Orangutan,53408.29,NA,720,3318.62,2555,2555,59,708,NA,NA,acceptable,64475,708,54229.04,NA,341.99,714,NA,Pongo_pygmaeus
Pontoporia blainvillei,Chordata,Mammalia,Cetacea,Pontoporiidae,Pontoporia,Franciscana,40499.99,NA,192,980.44,912,912,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,192,NA,Pontoporia_blainvillei
Pooecetes gramineus,Chordata,Aves,Passeriformes,Passerellidae,Pooecetes,Vesper sparrow,NA,NA,NA,NA,365,365,7.9,94.8,0.27412,21.5,acceptable,25.7,94.8,NA,NA,NA,94.8,DIU,Pooecetes_gramineus
Porphyrio porphyrio,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,Purple swamphen,NA,NA,NA,NA,NA,1096,8.4,100.8,NA,NA,acceptable,NA,NA,994.5,NA,4.8692,100.8,NA,Porphyrio_porphyrio
Potamalosa richmondia,Chordata,Teleostei,Clupeiformes,Clupeidae,Potamalosa,Australian freshwater herring,NA,NA,NA,NA,NA,NA,11,132,NA,NA,acceptable,NA,132,NA,NA,NA,132,NA,Potamalosa_richmondia
