phylum,class,order,family,genus,species,specificEpithet,sex,sampleSizeValue,body mass,body mass_minimum,body mass_maximum,metabolic rate,metabolic rate_minimum,metabolic rate_maximum,original respiratoryQuotient,original temperature,mass-specific metabolic rate,brain size
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,female,1,,,,,,,,,,4.50E-08
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,male,1,,,,,,,,,,3.96E-08
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,male,1,,,,,,,,,,3.50E-08
Chordata,Aves,Casuariiformes,Casuariidae,Casuarius,Casuarius casuarius,casuarius,,1,43.85,,,,,,,,,0.0376586
Chordata,Aves,Casuariiformes,Casuariidae,Dromaius,Dromaius novaehollandiae,novaehollandiae,,1,36.5,,,,,,,,,0.02991968
Chordata,Aves,Galliformes,Megapodiidae,Alectura,Alectura lathami,lathami,,1,2.3,,,,,,,,,0.00588448
Chordata,Aves,Galliformes,Megapodiidae,Leipoa,Leipoa ocellata,ocellata,,1,2,,,,,,,,,0.004662
Chordata,Aves,Galliformes,Phasianidae,Coturnix,Coturnix pectoralis,pectoralis,,1,0.105,,,,,,,,,0.00099456
Chordata,Aves,Galliformes,Phasianidae,Excalfactoria,Excalfactoria chinensis,chinensis,,1,0.0375,,,,,,,,,0.00058016
Chordata,Aves,Anseriformes,Anseranatidae,Anseranas,Anseranas semipalmata,semipalmata,,1,2.4,,,,,,,,,0.0091168
Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,Dendrocygna eytoni,eytoni,,1,1,,,,,,,,,0.00472416
Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,Dendrocygna arcuata,arcuata,,1,0.8,,,,,,,,,0.00467236
Chordata,Aves,Anseriformes,Anatidae,Biziura,Biziura lobata,lobata,,1,1.975,,,,,,,,,0.00903392
Chordata,Aves,Anseriformes,Anatidae,Stictonetta,Stictonetta naevosa,naevosa,,1,0.91,,,,,,,,,0.00456876
Chordata,Aves,Anseriformes,Anatidae,Cereopsis,Cereopsis novaehollandiae,novaehollandiae,,1,5,,,,,,,,,0.00914788
