species,class,order,family,panth_bodymass_g,aa_bodymass_g,kup_AdultMass,AT_bodymass_g,mean_long,diel,logage
Leipoa_ocellata,Aves,Galliformes,Megapodiidae,NA,NA,NA,2000,61.2,DIU,4.11414718951828
Lemmus_lemmus,Mammalia,Rodentia,Cricetidae,67.62,80,70,NA,31.8,ARR,3.459466289786131
Lemur_catta,Mammalia,Primates,Lemuridae,2626.48,NA,2555,2055,403.8,DIU,6.000919705878737
Leptodactylus_pentadactylus,Amphibia,Anura,Leptodactylidae,NA,NA,415,NA,225.6,NOC,5.418763519623904
Liasis_fuscus,Reptilia,Squamata,Pythonidae,NA,NA,10592,1306.9,321.6,NOC,5.773308537304811
Litoria_caerulea,Amphibia,Anura,Hylidae,NA,NA,NA,NA,240,DIU,5.480638923341991
Lonchura_striata,Aves,Passeriformes,Estrildidae,NA,10.3,12.3,NA,120,DIU,4.787491742782046
Loxia_curvirostra,Aves,Passeriformes,Fringillidae,NA,39.4,39.5,NA,193.2,DIU,5.263725921778417
Loxocemus_bicolor,Reptilia,Squamata,Loxocemidae,NA,NA,NA,NA,393.6,NOC,5.975335165178098
Loxodonta_africana,Mammalia,Proboscidea,Elephantidae,3824539.93,NA,4800000,NA,870,ARR,6.76849321164863
Lullula_arborea,Aves,Passeriformes,Alaudidae,NA,25.5,26.9,NA,72,DIU,4.276666119016055
Luscinia_megarhynchos,Aves,Passeriformes,Muscicapidae,NA,NA,19.7,NA,130.8,DIU,4.873669439023098
Luscinia_svecica,Aves,Passeriformes,Muscicapidae,NA,NA,17.3,NA,136.8,DIU,4.918520005188451
Macaca_mulatta,Mammalia,Primates,Cercopithecidae,6455.19,NA,8235,5045,456,DIU,6.1224928095143865
Macrochelys_temminckii,Reptilia,Testudines,Chelydridae,NA,NA,58500,NA,843.6,NOC,6.73767844860462
Macropus_eugenii,Mammalia,Diprotodontia,Macropodidae,5278.48,4796,6500,4425,174.6,NOC,5.162497643405501
Macrotus_californicus,Mammalia,Chiroptera,Phyllostomidae,11.83,11.7,11.6,NA,164.4,NOC,5.10230248262208
Macrovipera_lebetina,Reptilia,Squamata,Viperidae,NA,NA,1306,NA,159.6,ARR,5.072670685015709
Malacochersus_tornieri,Reptilia,Testudines,Testudinidae,NA,NA,391.25,NA,310.8,DIU,5.739149618493492
Malayemys_subtrijuga,Reptilia,Testudines,Geoemydidae,NA,NA,NA,NA,170.4,DIU,5.138148614395216
Malurus_melanocephalus,Aves,Passeriformes,Maluridae,NA,NA,NA,7.3,92.4,DIU,4.526126978647638
Manorina_melanocephala,Aves,Passeriformes,Meliphagidae,NA,NA,NA,68,148.8,DIU,5.002603122398992
Mantella_aurantiaca,Amphibia,Anura,Mantellidae,NA,NA,NA,NA,130.8,DIU,4.873669439023098
Masticophis_flagellum,Reptilia,Squamata,Colubridae,NA,NA,NA,NA,242.4,DIU,5.490589254195159
Mauremys_caspica,Reptilia,Testudines,Geoemydidae,NA,NA,NA,NA,211.2,DIU,5.352805551832106
Mauremys_reevesii,Reptilia,Testudines,Geoemydidae,NA,NA,858,NA,290.4,DIU,5.671259282950641
Megaderma_lyra,Mammalia,Chiroptera,Megadermatidae,39.27,NA,38.6,NA,168,NOC,5.123963979403259
Megaptera_novaeangliae,Mammalia,Cetacea,Balaenopteridae,30000000.01,NA,30000000,NA,1140,ARR,7.038783541388542
Megascops_asio,Aves,Strigiformes,Strigidae,NA,166,164.1,NA,248.4,NOC,5.515040350059324
Mehelya_capensis,Reptilia,Squamata,Colubridae,NA,NA,NA,NA,130.8,NOC,4.873669439023098
Melanerpes_erythrocephalus,Aves,Piciformes,Picidae,NA,NA,75,NA,120,DIU,4.787491742782046
Melanerpes_uropygialis,Aves,Piciformes,Picidae,NA,NA,65,NA,132,DIU,4.882801922586371
Melanodryas_cucullata,Aves,Passeriformes,Petroicidae,NA,NA,NA,20.9,115.2,DIU,4.746669748261791
Melanosuchus_niger,Reptilia,Crocodilia,Alligatoridae,NA,NA,82000,NA,480,NOC,6.173786103901937
Meleagris_gallopavo,Aves,Galliformes,Phasianidae,NA,NA,6050,NA,156,DIU,5.049856007249537
Meles_meles,Mammalia,Carnivora,Mustelidae,11884.03,11050,13000,NA,208.8,NOC,5.341376856008484
Melithreptus_lunatus,Aves,Passeriformes,Meliphagidae,NA,NA,NA,14.15,147.6,DIU,4.994505912166372
Melopsittacus_undulatus,Aves,Psittaciformes,Psittacidae,NA,25.2,30,32.5,252,DIU,5.529429087511423
Melospiza_georgiana,Aves,Passeriformes,Passerellidae,NA,14.9,16.1,NA,93.6,DIU,4.539030383483547
Melospiza_lincolnii,Aves,Passeriformes,Passerellidae,NA,NA,17.35,NA,91.2,DIU,4.513054897080286
Melospiza_melodia,Aves,Passeriformes,Passerellidae,NA,19.1,22.7,19.8,135.6,DIU,4.909709375506295
Menura_novaehollandiae,Aves,Passeriformes,Menuridae,NA,NA,NA,967,214.8,DIU,5.36970736263471
Mephitis_mephitis,Mammalia,Carnivora,Mephitidae,2399.99,NA,3500,1886.666667,160.9,NOC,5.080783053998338
Mesocricetus_auratus,Mammalia,Rodentia,Cricetidae,98.6,108.2,105,NA,83.4,NOC,4.423648309364701
Microcebus_murinus,Mammalia,Primates,Cheirogaleidae,69,NA,64.8,54,202.2,NOC,5.309257306586371
Microhyla_ornata,Amphibia,Anura,Microhylidae,NA,NA,1.65,NA,60,NOC,4.0943445622221
Micrurus_fulvius,Reptilia,Squamata,Elapidae,NA,NA,682,NA,228,DIU,5.429345628954441
Mimus_polyglottos,Aves,Passeriformes,Mimidae,NA,NA,53,NA,240,DIU,5.480638923341991
Mniotilta_varia,Aves,Passeriformes,Parulidae,NA,8.2,10.9,NA,146.4,DIU,4.986342601527212
Momotus_momota,Aves,Coraciiformes,Momotidae,NA,NA,133,NA,243.6,DIU,5.495527535835742
Monodelphis_domestica,Mammalia,Didelphimorphia,Didelphidae,93.45,104,105,NA,66.6,NOC,4.198704577546343
Morelia_viridis,Reptilia,Squamata,Pythonidae,NA,NA,3113,NA,247.2,NOC,5.510197725583535
Motacilla_alba,Aves,Passeriformes,Motacillidae,NA,18,24.1,NA,164.4,DIU,5.10230248262208
Motacilla_cinerea,Aves,Passeriformes,Motacillidae,NA,NA,17.2,NA,96,DIU,4.564348191467836
Motacilla_flava,Aves,Passeriformes,Motacillidae,NA,14.7,17.7,NA,105.6,DIU,4.659658371272161
Mus_musculus,Mammalia,Rodentia,Muridae,19.3,18,20.5,32.1,60,NOC,4.0943445622221
Muscicapa_striata,Aves,Passeriformes,Muscicapidae,NA,14.4,15.9,NA,141.6,DIU,4.953006181259619
Mycteria_americana,Aves,Ciconiiformes,Ciconiidae,NA,NA,2500,NA,324,ARR,5.780743515792329
Myioborus_pictus,Aves,Passeriformes,Parulidae,NA,NA,9.75,NA,79.2,DIU,4.37197629882038
Myocastor_coypus,Mammalia,Rodentia,Myocastoridae,6361.55,NA,7850,NA,186,NOC,5.225746673713202
Myoprocta_acouchy,Mammalia,Rodentia,Dasyproctidae,954.87,914,775,914,148.8,DIU,5.002603122398992
Myotis_lucifugus,Mammalia,Chiroptera,Vespertilionidae,7.8,5.8,10,NA,408,NOC,6.0112671744041615
Myrmecobius_fasciatus,Mammalia,Dasyuromorphia,Myrmecobiidae,511.44,438.2,471.5,402.7,102,DIU,4.624972813284271
Myrmecophaga_tridactyla,Mammalia,Pilosa,Myrmecophagidae,29531.83,30600,28500,30600,342,DIU,5.834810737062605
Mystacina_tuberculata,Mammalia,Chiroptera,Mystacinidae,13.14,NA,23.5,NA,91.2,NOC,4.513054897080286
Naja_naja,Reptilia,Squamata,Elapidae,NA,NA,NA,NA,387.6,ARR,5.959973880016611
Nandinia_binotata,Mammalia,Carnivora,Nandiniidae,2167.2,4270,1900,NA,237,NOC,5.4680601411351315
Necrosyrtes_monachus,Aves,Accipitriformes,Accipitridae,NA,NA,NA,NA,255.6,DIU,5.5436137225033795
Necturus_maculosus,Amphibia,Caudata,Proteidae,NA,NA,220.1,NA,408,NOC,6.0112671744041615
Nerodia_sipedon,Reptilia,Squamata,Colubridae,NA,NA,NA,NA,115.2,ARR,4.746669748261791
Nestor_notabilis,Aves,Psittaciformes,Psittacidae,NA,NA,867.5,NA,564,ARR,6.335054251498059
Nomascus_leucogenys,Mammalia,Primates,Hylobatidae,7320,NA,6000,NA,529.2,DIU,6.271366432240801
Notechis_scutatus,Reptilia,Squamata,Elapidae,NA,NA,NA,NA,169.2,ARR,5.1310814471721224
Notophthalmus_viridescens,Amphibia,Caudata,Salamandridae,NA,NA,3.9,NA,300,DIU,5.703782474656201
Nycticebus_coucang,Mammalia,Primates,Lorisidae,924.55,1128.6,890.5,627.75,313.8,NOC,5.748755840298932
Nymphicus_hollandicus,Aves,Psittaciformes,Psittacidae,NA,NA,90,88.15,420,DIU,6.040254711277414
Oceanodroma_castro,Aves,Procellariiformes,Hydrobatidae,NA,NA,42,NA,432,NOC,6.068425588244111
Ochotona_princeps,Mammalia,Lagomorpha,Ochotonidae,157.63,109,100,NA,84,DIU,4.430816798843313
Oedura_marmorata,Reptilia,Squamata,Diplodactylidae,NA,NA,15.4,NA,254.4,NOC,5.538907831465967
Oenanthe_oenanthe,Aves,Passeriformes,Muscicapidae,NA,NA,25,NA,121.2,DIU,4.797442073635214
Okapia_johnstoni,Mammalia,Artiodactyla,Giraffidae,230001.14,NA,225000,NA,399,DIU,5.988961416889864
Ophisaurus_ventralis,Reptilia,Squamata,Anguidae,NA,NA,23.715,32.17,177.6,DIU,5.17953383055807
Oplurus_cyclurus,Reptilia,Squamata,Opluridae,NA,NA,NA,NA,111.6,DIU,4.71492104994721
Oreoica_gutturalis,Aves,Passeriformes,Oreoicidae,NA,NA,NA,63.3,60,DIU,4.0943445622221
Ornithorhynchus_anatinus,Mammalia,Monotremata,Ornithorhynchidae,1484.25,1030.3,1250,1320,267.6,CRE,5.589493328254074
Ortalis_vetula,Aves,Galliformes,Cracidae,NA,NA,495.5,NA,105.6,DIU,4.659658371272161
Orthonyx_spaldingii,Aves,Passeriformes,Orthonychidae,NA,NA,NA,149.2,198,DIU,5.288267030694535
Orycteropus_afer,Mammalia,Tubulidentata,Orycteropodidae,56175.2,48000,60000,48000,322.8,NOC,5.777032936395794
Osteolaemus_tetraspis,Reptilia,Crocodilia,Crocodylidae,NA,NA,40000,NA,840,NOC,6.733401891837359
Osteopilus_septentrionalis,Amphibia,Anura,Hylidae,NA,NA,NA,NA,154.8,NOC,5.042133961155627
Otus_flammeolus,Aves,Strigiformes,Strigidae,NA,NA,55.5,NA,97.2,NOC,4.576770711466393
Otus_scops,Aves,Strigiformes,Strigidae,NA,NA,92,13.4,82.8,NOC,4.416428061391214
