species,class,order,family,panth_bodymass_g,aa_bodymass_g,kup_AdultMass,AT_bodymass_g,mean_long,diel,logage
Pyrocephalus_rubinus,Aves,Passeriformes,Tyrannidae,NA,NA,12.87,NA,66,DIU,4.189654742026425
Pyrrhula_pyrrhula,Aves,Passeriformes,Fringillidae,NA,NA,24.4,NA,210,DIU,5.3471075307174685
Python_molurus,Reptilia,Squamata,Pythonidae,NA,12370,12370,NA,410.4,NOC,6.01713229385656
Pyxicephalus_adspersus,Amphibia,Anura,Pyxicephalidae,NA,NA,1400,NA,540,DIU,6.29156913955832
Rana_aurora,Amphibia,Anura,Ranidae,NA,NA,NA,NA,180,NOC,5.19295685089021
Rana_iberica,Amphibia,Anura,Ranidae,NA,NA,10.6,NA,96,ARR,4.564348191467836
Rana_macrocnemis,Amphibia,Anura,Ranidae,NA,NA,11.3,NA,60,NOC,4.0943445622221
Rana_temporaria,Amphibia,Anura,Ranidae,NA,NA,47.6,NA,324,NOC,5.780743515792329
Regulus_calendula,Aves,Passeriformes,Regulidae,NA,NA,6.75,NA,67.2,DIU,4.207673247529104
Regulus_regulus,Aves,Passeriformes,Regulidae,NA,5.5,5.6,NA,84,DIU,4.430816798843313
Regulus_satrapa,Aves,Passeriformes,Regulidae,NA,NA,5.5,NA,75.6,DIU,4.3254562831854875
Remiz_pendulinus,Aves,Passeriformes,Remizidae,NA,NA,9.3,NA,86.4,DIU,4.45898767581001
Rhamphiophis_oxyrhynchus,Reptilia,Squamata,Lamprophiidae,NA,NA,NA,NA,159.6,DIU,5.072670685015709
Rhinocheilus_lecontei,Reptilia,Squamata,Colubridae,NA,NA,432,NA,237.6,NOC,5.47058858748849
Rousettus_aegyptiacus,Mammalia,Chiroptera,Pteropodidae,134,146,125,130,274.8,NOC,5.616043560348194
Rupicola_rupicola,Aves,Passeriformes,Cotingidae,NA,NA,195,NA,84,DIU,4.430816798843313
Rynchops_niger,Aves,Charadriiformes,Laridae,NA,NA,315,NA,242.4,NOC,5.490589254195159
Saccostomus_campestris,Mammalia,Rodentia,Nesomyidae,50.33,68.1,47.4,NA,43.8,NOC,3.7796338173824005
Salamandra_salamandra,Amphibia,Caudata,Salamandridae,NA,19.1,19.1,NA,288,NOC,5.662960480135946
Sauromalus_ater,Reptilia,Squamata,Iguanidae,NA,NA,230.39,NA,111.6,DIU,4.71492104994721
Scaphiopus_holbrookii,Amphibia,Anura,Scaphiopodidae,NA,NA,NA,NA,147.6,NOC,4.994505912166372
Sceloporus_magister,Reptilia,Squamata,Iguanidae,NA,NA,NA,NA,70.8,DIU,4.259859000699674
Scolopax_minor,Aves,Charadriiformes,Scolopacidae,NA,156.7,197.5,NA,250.8,CRE,5.524655808758766
Selasphorus_rufus,Aves,Apodiformes,Trochilidae,NA,3.8,3.5,NA,106.8,DIU,4.6709579265260945
Senticolis_triaspis,Reptilia,Squamata,Colubridae,NA,NA,753,NA,237.6,ARR,5.47058858748849
Setophaga_ruticilla,Aves,Passeriformes,Parulidae,NA,NA,8.5,NA,121.2,DIU,4.797442073635214
Siren_intermedia,Amphibia,Caudata,Sirenidae,NA,NA,NA,NA,308.4,NOC,5.731397641689174
Sitta_canadensis,Aves,Passeriformes,Sittidae,NA,NA,11.2,10.38,90,DIU,4.499809670330265
Smicrornis_brevirostris,Aves,Passeriformes,Acanthizidae,NA,NA,NA,5.8,88.8,DIU,4.486386649998124
Smilisca_baudinii,Amphibia,Anura,Hylidae,NA,NA,NA,NA,75.6,NOC,4.3254562831854875
Smilisca_phaeota,Amphibia,Anura,Hylidae,NA,NA,NA,NA,49.2,NOC,3.8958936234982624
Solenodon_paradoxus,Mammalia,Soricomorpha,Solenodontidae,899.99,NA,1000,900,140.6,NOC,4.9459189793765646
Sorex_araneus,Mammalia,Soricomorpha,Soricidae,9.18,8.4,9,10.3,31.2,DIU,3.4404180948154366
Spea_intermontana,Amphibia,Anura,Scaphiopodidae,NA,NA,NA,NA,240,NOC,5.480638923341991
Sphecotheres_viridis,Aves,Passeriformes,Oriolidae,NA,NA,121.5,NA,216,DIU,5.375278407684165
Sphenodon_punctatus,Reptilia,Rhynchocephalia,Sphenodontidae,NA,430,430,NA,1080,NOC,6.984716320118266
Sphyrapicus_nuchalis,Aves,Piciformes,Picidae,NA,NA,48.5,NA,58.8,DIU,4.074141854904581
Sphyrapicus_ruber,Aves,Piciformes,Picidae,NA,NA,55,NA,57.6,DIU,4.053522567701846
Sphyrapicus_varius,Aves,Piciformes,Picidae,NA,NA,45,NA,93.6,DIU,4.539030383483547
Spiza_americana,Aves,Passeriformes,Cardinalidae,NA,NA,33,NA,57.6,DIU,4.053522567701846
Spizella_breweri,Aves,Passeriformes,Passerellidae,NA,NA,11,NA,74.4,DIU,4.309455941839047
Spizella_pallida,Aves,Passeriformes,Passerellidae,NA,NA,11.45,NA,82.8,DIU,4.416428061391214
Spizella_passerina,Aves,Passeriformes,Passerellidae,NA,11.9,12.2,NA,141.6,DIU,4.953006181259619
Spizella_pusilla,Aves,Passeriformes,Passerellidae,NA,NA,12.5,NA,123.6,DIU,4.817050545023591
Stellula_calliope,Aves,Apodiformes,Trochilidae,NA,3,2.6,NA,84,DIU,4.430816798843313
Sternotherus_odoratus,Reptilia,Testudines,Kinosternidae,NA,NA,137.9,NA,657.6,CRE,6.48859684374197
Strepera_graculina,Aves,Passeriformes,Cracticidae,NA,NA,NA,305.75,290.4,DIU,5.671259282950641
Streptopelia_decaocto,Aves,Columbiformes,Columbidae,NA,NA,157.4,NA,214.8,DIU,5.36970736263471
Streptopelia_turtur,Aves,Columbiformes,Columbidae,NA,154,132,NA,158.4,DIU,5.0651234793803255
Strix_aluco,Aves,Strigiformes,Strigidae,NA,NA,520,NA,268.8,NOC,5.5939676086489944
Struthidea_cinerea,Aves,Passeriformes,Corcoracidae,NA,NA,132,135,300,DIU,5.703782474656201
Sturnella_magna,Aves,Passeriformes,Icteridae,NA,NA,94.71,NA,151.2,DIU,5.018603463745433
Sturnella_neglecta,Aves,Passeriformes,Icteridae,NA,NA,85,NA,120,DIU,4.787491742782046
Sturnus_vulgaris,Aves,Passeriformes,Sturnidae,NA,75,74,57.73666667,274.8,DIU,5.616043560348194
Suricata_suricatta,Mammalia,Carnivora,Herpestidae,729.99,850,776,NA,198.6,DIU,5.291292751611072
Surnia_ulula,Aves,Strigiformes,Strigidae,NA,NA,320,NA,194.4,NOC,5.2699178920263385
Sus_scrofa,Mammalia,Artiodactyla,Suidae,84471.54,135000,130000,NA,288,DIU,5.662960480135946
Sylvia_communis,Aves,Passeriformes,Sylviidae,NA,NA,17.7,NA,108,DIU,4.68213122712422
Sylvia_curruca,Aves,Passeriformes,Sylviidae,NA,10.6,11.4,NA,108,DIU,4.68213122712422
Sylvia_nisoria,Aves,Passeriformes,Sylviidae,NA,NA,22.5,NA,142.8,DIU,4.9614450499054845
Synthliboramphus_hypoleucus,Aves,Charadriiformes,Alcidae,NA,NA,167,NA,180,NOC,5.19295685089021
Tachycineta_thalassina,Aves,Passeriformes,Hirundinidae,NA,NA,14.2,NA,109.2,DIU,4.693181063310805
Tachyglossus_aculeatus,Mammalia,Monotremata,Tachyglossidae,4499.97,2909,3500,2785,597,NOC,6.391917113392602
Tadarida_brasiliensis,Mammalia,Chiroptera,Molossidae,12.61,13.3,12.5,NA,162,NOC,5.087596335232384
Taeniopygia_guttata,Aves,Passeriformes,Estrildidae,NA,NA,12,11.85,144,DIU,4.969813299576001
Tamias_striatus,Mammalia,Rodentia,Sciuridae,NA,89.6,96,NA,114,DIU,4.736198448394496
Tarentola_mauritanica,Reptilia,Squamata,Phyllodactylidae,NA,NA,6.54,NA,168,ARR,5.123963979403259
Terrapene_ornata,Reptilia,Testudines,Emydidae,NA,NA,394.5,354,340.8,DIU,5.83129579495516
Testudo_kleinmanni,Reptilia,Testudines,Testudinidae,NA,NA,440,NA,252,DIU,5.529429087511423
Tetrao_urogallus,Aves,Galliformes,Phasianidae,NA,4010,2950,NA,216,DIU,5.375278407684165
Thamnophis_marcianus,Reptilia,Squamata,Colubridae,NA,NA,NA,NA,84,ARR,4.430816798843313
Thomomys_bottae,Mammalia,Rodentia,Geomyidae,122.7,143,115.5,NA,63.6,ARR,4.152613470346076
Thryonomys_swinderianus,Mammalia,Rodentia,Thryonomyidae,3750.85,NA,6600,NA,58.2,NOC,4.063885354737392
Timon_lepidus,Reptilia,Squamata,Lacertidae,NA,NA,99.625,NA,204,DIU,5.318119993844216
Tomistoma_schlegelii,Reptilia,Crocodilia,Gavialidae,NA,NA,119000,NA,296.4,NOC,5.6917098934219315
Toxostoma_curvirostre,Aves,Passeriformes,Mimidae,NA,NA,80.65,NA,129.6,DIU,4.864452783918174
Toxostoma_redivivum,Aves,Passeriformes,Mimidae,NA,NA,84.4,NA,82.8,DIU,4.416428061391214
Trachycephalus_venulosus,Amphibia,Anura,Hylidae,NA,NA,NA,NA,126,NOC,4.836281906951478
Tragulus_napu,Mammalia,Artiodactyla,Tragulidae,5273.67,NA,6500,NA,198.18,NOC,5.289175708630753
Trichechus_manatus,Mammalia,Sirenia,Trichechidae,467324.83,450000,322000,NA,594,ARR,6.386879319362645
Trichoglossus_chlorolepidotus,Aves,Psittaciformes,Psittacidae,NA,NA,NA,86.9,405.6,DIU,6.005367452276974
Trichoglossus_haematodus,Aves,Psittaciformes,Psittacidae,NA,NA,115.1,125,247.2,DIU,5.510197725583535
Trichosurus_vulpecula,Mammalia,Diprotodontia,Phalangeridae,2685.39,1993.5,2395,1761,183.6,NOC,5.21275947818639
Trimeresurus_gramineus,Reptilia,Squamata,Viperidae,NA,NA,NA,NA,100.8,NOC,4.613138355637268
Trionyx_triunguis,Reptilia,Testudines,Trionychidae,NA,NA,10818,NA,607.2,NOC,6.408858226081421
Triturus_marmoratus,Amphibia,Caudata,Salamandridae,NA,NA,9.8,NA,300,ARR,5.703782474656201
Troglodytes_aedon,Aves,Passeriformes,Troglodytidae,NA,NA,9.7,NA,108,DIU,4.68213122712422
Troglodytes_troglodytes,Aves,Passeriformes,Troglodytidae,NA,9,9.1,NA,84,DIU,4.430816798843313
Tropidophis_haetianus,Reptilia,Squamata,Tropidophiidae,NA,NA,NA,NA,183.6,NOC,5.21275947818639
Tupaia_minor,Mammalia,Scandentia,Tupaiidae,70,NA,58.6,NA,146.4,DIU,4.986342601527212
Tupinambis_teguixin,Reptilia,Squamata,Teiidae,NA,NA,1773.51,NA,193.2,DIU,5.263725921778417
Turdus_merula,Aves,Passeriformes,Turdidae,NA,NA,103.2,85.1,261.6,DIU,5.566816619583044
Turdus_migratorius,Aves,Passeriformes,Turdidae,NA,NA,75.5,71.205,204,DIU,5.318119993844216
Turdus_philomelos,Aves,Passeriformes,Turdidae,NA,62.8,67.8,NA,212.4,DIU,5.358471289367784
Tursiops_truncatus,Mammalia,Cetacea,Delphinidae,281040.55,NA,200000,NA,585.6,ARR,6.3726369626471016
Tyrannus_tyrannus,Aves,Passeriformes,Tyrannidae,NA,35.7,39.9,NA,133.2,DIU,4.891851758106289
Tyto_alba,Aves,Strigiformes,Tytonidae,NA,NA,580,NA,408,NOC,6.0112671744041615
Underwoodisaurus_milii,Reptilia,Squamata,Carphodactylidae,NA,NA,9.6,NA,144,NOC,4.969813299576001
Upupa_epops,Aves,Bucerotiformes,Upupidae,NA,NA,67.1,67,133.2,DIU,4.891851758106289
Vanellus_miles,Aves,Charadriiformes,Charadriidae,NA,NA,NA,334.9,166.8,ARR,5.116795489924646
Varanus_bengalensis,Reptilia,Squamata,Varanidae,NA,NA,3750,NA,134.4,DIU,4.900820428089049
Varanus_giganteus,Reptilia,Squamata,Varanidae,NA,NA,5333.4,2496,236.4,DIU,5.465525285531943
Varanus_griseus,Reptilia,Squamata,Varanidae,NA,NA,821.1,NA,204,DIU,5.318119993844216
Varanus_indicus,Reptilia,Squamata,Varanidae,NA,NA,1287,NA,208.8,DIU,5.341376856008484
Varanus_prasinus,Reptilia,Squamata,Varanidae,NA,NA,237.5,NA,170.4,DIU,5.138148614395216
Varanus_salvator,Reptilia,Squamata,Varanidae,NA,NA,4345,NA,188.4,DIU,5.238567362142263
Varanus_varius,Reptilia,Squamata,Varanidae,NA,NA,4300,NA,176.4,DIU,5.172754143572691
Vireo_griseus,Aves,Passeriformes,Vireonidae,NA,NA,12,NA,130.8,DIU,4.873669439023098
Vireo_olivaceus,Aves,Passeriformes,Vireonidae,NA,NA,17,NA,122.4,DIU,4.807294370078226
Vireo_philadelphicus,Aves,Passeriformes,Vireonidae,NA,NA,12,NA,117.6,DIU,4.767289035464526
Vombatus_ursinus,Mammalia,Diprotodontia,Vombatidae,26000,NA,25500,27192,336.6,NOC,5.8188952817567055
Xantusia_vigilis,Reptilia,Squamata,Xantusiidae,NA,NA,1.475,NA,130.8,DIU,4.873669439023098
Xenopeltis_unicolor,Reptilia,Squamata,Xenopeltidae,NA,NA,753,NA,145.2,NOC,4.978112102390695
Xenopus_laevis,Amphibia,Anura,Pipidae,NA,63.6,130,32.37,363.6,ARR,5.896054362303324
Zapus_hudsonius,Mammalia,Rodentia,Dipodidae,18.43,26.1,18,30,63.6,NOC,4.152613470346076
Zenaida_asiatica,Aves,Columbiformes,Columbidae,NA,NA,140,NA,300,DIU,5.703782474656201
Zonotrichia_albicollis,Aves,Passeriformes,Passerellidae,NA,20.2,21.1,23.6,178.8,DIU,5.186267862739414
Zonotrichia_leucophrys,Aves,Passeriformes,Passerellidae,NA,26.1,25.82,NA,159.6,DIU,5.072670685015709
Zonotrichia_querula,Aves,Passeriformes,Passerellidae,NA,33.3,33.1,NA,140.4,DIU,4.944495491591711
