species,panth_bodymass_g,mean_long,Diet,logage,logmass,diet.new
Peromyscus_maniculatus,19.98,99.6,Omnivore,4.601162164590552,2.9947317732204075,Omnivore
Peromyscus_polionotus,14.27,66,Omnivore,4.189654742026425,2.658159431488745,Omnivore
Peromyscus_truei,27,64.8,Omnivore,4.1713056033582285,3.295836866004329,Omnivore
Petaurista_alborufus,1501.95,256.8,?,5.548297571815806,7.314519542821921,NA
Petaurista_leucogenys,NA,230.4,Herbivore,5.439816928821736,NA,Herbivore
Petaurus_australis,567.15,186,Omnivore,5.225746673713202,6.340623819005051,Omnivore
Petaurus_breviceps,120.76,190.8,Omnivore,5.251225759014186,4.793805104838638,Omnivore
Petaurus_norfolcensis,230,160.8,Omnivore,5.080161356744866,5.438079308923196,Omnivore
Petrogale_brachyotis,4012.01,121.2,Herbivore,4.797442073635214,8.297047641601152,Herbivore
Petrogale_concinna,1398.2,172.2,Herbivore,5.14865659199363,7.242940974077885,Herbivore
Petrogale_penicillata,6931.6,172.2,Herbivore,5.14865659199363,8.843845945766091,Herbivore
Petrogale_xanthopus,8499.99,158.4,Herbivore,5.0651234793803255,9.047820266007127,Herbivore
Phacochoerus_africanus,82499.99,270,Herbivore,5.598421958998375,11.320553451110644,Herbivore
Phalanger_gymnotis,2597.89,185.4,Herbivore,5.2225156531317545,7.862454856072431,Herbivore
Phaner_furcifer,409.87,222,Omnivore,5.402677381872279,6.015840036249296,Omnivore
Phascogale_calura,43.03,46.2,?,3.832979798087693,3.7618975468505083,NA
Phascogale_tapoatafa,192.65,65.4,Carnivore,4.180522258463153,5.260875071072166,Carnivore
Phascolarctos_cinereus,6528.74,252.6,Herbivore,5.531807209916391,8.783969248062565,Herbivore
Philander_opossum,425.81,47.4,Omnivore,3.858622228701031,6.053993237387927,Omnivore
Philantomba_maxwellii,8557.69,183.3,Herbivore,5.21112415484566,9.054585572903992,Herbivore
Philantomba_monticola,4896.05,167.4,Omnivore,5.120386158055375,8.496184036558317,Omnivore
Phloeomys_cumingi,1842.46,163.2,?,5.094976442530006,7.518856914194184,NA
Phloeomys_pallidus,1744.14,128.4,?,4.855150391255861,7.464016876476399,NA
Phoca_vitulina,87316.66,525.6,Carnivore,6.2645404671704,11.377296559817804,Carnivore
Phocoena_phocoena,52730.93,212.4,Carnivore,5.358471289367784,10.87295746938776,Carnivore
Phocoenoides_dalli,106042.53,264,Carnivore,5.575949103146316,11.571595519039505,Carnivore
Phodopus_roborovskii,NA,57.6,Omnivore,4.053522567701846,NA,Omnivore
Phodopus_sungorus,30.43,42.6,Omnivore,3.751854253275325,3.4154289639088797,Omnivore
Phyllostomus_discolor,36.7,108,Omnivore,4.68213122712422,3.6027767550605247,Omnivore
Phyllostomus_hastatus,91.44,168,Omnivore,5.123963979403259,4.515683019486556,Omnivore
Pipistrellus_kuhlii,6.07,96,Carnivore,4.564348191467836,1.803358605071407,Carnivore
Pipistrellus_nathusii,7.44,114,Carnivore,4.736198448394496,2.0068708488450007,Carnivore
Pipistrellus_pipistrellus,5.3,199.8,?,5.297316866214453,1.667706820558076,NA
Pithecia_monachus,2109.55,297.6,?,5.6957503029589365,7.654229933582622,NA
Pithecia_pithecia,1667.19,340.2,Herbivore,5.829533679961761,7.418894853460445,Herbivore
Plagiodontia_aedium,1268.86,154.8,?,5.042133961155627,7.145874138539302,NA
Planigale_maculata,12,58.8,Carnivore,4.074141854904581,2.4849066497880004,Carnivore
Planigale_tenuirostris,6.27,49.2,Carnivore,3.8958936234982624,1.8357763546448294,Carnivore
Platyrrhinus_lineatus,24.34,139.2,Herbivore,4.935911747900319,3.1921210875593813,Herbivore
Plecotus_auritus,8.19,360,Carnivore,5.886104031450156,2.102913897864978,Carnivore
Plecotus_austriacus,6.75,243,Carnivore,5.493061443340548,1.9095425048844386,Carnivore
Podomys_floridanus,30.74,88.4,Omnivore,4.481871969643598,3.4255647381104497,Omnivore
Pogonomys_macrourus,46.98,33.1,?,3.4995332823830174,3.849721979230767,NA
Pongo_pygmaeus,53408.29,714,Omnivore,6.570882962339584,10.885721256344963,Omnivore
Potamochoerus_porcus,70000.31,252,Omnivore,5.529429087511423,11.15625494959312,Omnivore
Potorous_longipes,1835.06,151.8,Omnivore,5.02256386496153,7.514832457501801,Omnivore
Potorous_tridactylus,1054.67,159,Omnivore,5.0689042022202315,6.960983200770698,Omnivore
Potos_flavus,2441.81,404.4,Omnivore,6.0024044871463165,7.800494846565873,Omnivore
Praomys_tullbergi,37.1,62.4,Herbivore,4.133565275375382,3.6136169696133895,Herbivore
Presbytis_melalophos,6439.12,216,Herbivore,5.375278407684165,8.770147163798756,Herbivore
Priodontes_maximus,40641.89,180,Omnivore,5.19295685089021,10.61255458707651,Omnivore
Prionailurus_bengalensis,2780.97,192,Carnivore,5.2574953720277815,7.930555066689264,Carnivore
Prionailurus_planiceps,3533.76,168,?,5.123963979403259,8.170117738858766,NA
Prionailurus_rubiginosus,1418.75,214.8,?,5.36970736263471,7.257531481229713,NA
Prionailurus_viverrinus,8826.46,163.2,?,5.094976442530006,9.085509307211444,NA
Procapra_gutturosa,28274.27,114,Herbivore,4.736198448394496,10.249707482790734,Herbivore
Procavia_capensis,2952.48,172.8,Herbivore,5.152134856369956,7.990400774128168,Herbivore
Procyon_cancrivorus,6931.72,198,Omnivore,5.288267030694535,8.843863257636551,Omnivore
Procyon_lotor,6373.72,252,Omnivore,5.529429087511423,8.759938565553032,Omnivore
Proechimys_brevicauda,284.99,81.6,?,4.401829261970061,5.652454091933764,NA
Proechimys_semispinosus,353.32,50.3,Omnivore,3.9180050771056933,5.867374161876931,Omnivore
Profelis_aurata,11277.17,252,Carnivore,5.529429087511423,9.330535607049939,Carnivore
Prolemur_simus,2030.41,177.6,Herbivore,5.17953383055807,7.615993022085899,Herbivore
Propithecus_verreauxi,3588.26,309.6,Herbivore,5.735281141715572,8.18542268432143,Herbivore
Proteles_cristata,8139.39,270,Carnivore,5.598421958998375,9.004470517613612,Carnivore
Psammomys_obesus,102.15,38.4,Herbivore,3.648057459593681,4.626442321263631,Herbivore
Pseudantechinus_macdonnellensis,36.88,60,Carnivore,4.0943445622221,3.607669398688393,Carnivore
Pseudocheirus_peregrinus,895.22,108.6,Herbivore,4.687671407499835,6.7970694981243795,Herbivore
Pseudois_nayaur,52334.57,269.4,?,5.596197263976263,10.865412425956386,NA
Pseudomys_australis,52.97,81,Omnivore,4.394449154672439,3.9697257155564354,Omnivore
Pseudomys_chapmani,10.95,81.6,?,4.401829261970061,2.3933394562625097,NA
Pseudomys_fumeus,68.75,78,?,4.356708826689592,4.230476736546681,NA
